"","V1"
"405",5.73622770877054
"406",6.05268014892095
"407",6.01015615937073
"408",5.83101092944089
"409",5.98632239971426
"410",5.98057120022859
"411",6.31928376633078
"412",6.49695893308378
"413",6.61704993366407
"414",6.68757126822555
"415",6.8346355944242
"416",6.82693318553229
"417",6.87560084105561
"418",6.63985383033899
"419",6.91062489531866
"420",6.96144521259172
"421",7.14340808458367
"422",7.28434130115279
"423",7.19580482120806
"424",7.3399271640658
"425",7.01615617149651
"426",6.87143929790739
"427",6.71312257882675
"428",6.78177004752166
"429",6.89359960221629
"430",6.93084769095347
"431",6.72690409654132
"432",6.89324835455763
"433",6.8139458576418
"434",6.94616139192606
"435",6.86348723630066
"436",6.88614972433488
"437",6.8929873628843
"438",6.98471147108616
"439",7.13050306391759
"440",7.14856011456677
"441",6.74135266772023
"442",6.59498913668059
"443",6.60089693872453
"444",6.52169409338911
"445",6.51826987395744
"446",6.7005141685423
"447",6.71347283522774
"448",6.71309611167381
"449",6.6909540282275
"450",6.60256824729281
"451",6.76439698607472
"452",6.6555050247868
"453",6.69826815077302
"454",6.47406265587447
"455",6.39596180154622
"456",6.02008119784959
"457",5.98337493831314
"458",5.87581870136677
"459",5.89658916745911
"460",5.97682062523673
"461",5.85435608158041
"462",5.85021783457099
"463",5.85472855984012
"464",5.78349054400679
"465",5.69352407880145
"466",5.77768784763019
"467",5.8253045527388
"468",5.85244101161312
"469",5.72067189082767
"470",5.59084889932345
"471",5.67404015367589
"472",5.53827003294983
"473",5.43231625739417
"474",5.47289064599361
"475",5.50067281373627
"476",5.29957262977368
"477",5.52311224113015
"478",5.39952552329709
"479",5.61859215127204
"480",5.42057144440967
"481",5.31930263123505
"482",5.37570102827567
"483",5.36925041243963
"484",5.37957040443874
"485",5.51437756056317
"486",5.4281372125354
"487",5.43952187871691
"488",5.54102675594519
"489",5.56883291941932
"490",5.4886344065007
"491",5.56877567318592
"492",5.37653792504572
"493",5.36413506726952
"494",5.370035974688
"495",5.3445017518984
"496",5.27898675296935
"497",5.34261600614519
"498",5.1272235878284
"499",5.09354250683299
"500",4.93153171867276
"501",4.98778044540714
"502",5.04341797535638
"503",5.12241538644015
"504",5.06314940415682
"505",4.98682009227313
"506",5.16556928236899
"507",5.10817163201337
"508",4.90456649897493
"509",4.81489027593901
"510",4.75889809202055
"511",4.75900603492713
"512",4.6976620168536
"513",4.81798439127689
"514",4.71635893450897
"515",4.74470580069218
"516",4.80929468472833
"517",4.83351575880746
"518",4.8078547698558
"519",4.78923975883723
"520",4.81302702464611
"521",4.75839838459443
"522",4.79754832437471
"523",4.82884239445284
"524",4.98971601627086
"525",5.06350721763497
"526",4.99854723465292
"527",4.98777824572762
"528",4.70042018633834
"529",4.65378683022354
"530",4.7337064790154
"531",4.72462890293394
"532",4.91946394214454
"533",4.83445848614648
"534",4.81156183593721
"535",4.7989411659378
"536",4.78076341077
"537",4.76759650968557
"538",4.81310211957774
"539",4.65522807127483
"540",4.71822253462489
"541",4.73587425380666
"542",4.87082987026985
"543",4.85259322233454
"544",4.82683651229018
"545",4.94873038629022
"546",4.92896810553315
"547",4.91507201299204
"548",5.08313418431716
"549",5.16077481707693
"550",5.07027873084514
"551",5.20203402138163
"552",5.12135616649665
"553",5.04086385620047
"554",5.24700022439663
"555",5.47614421091609
"556",5.77599234504349
"557",6.0598732468513
"558",5.8518868498705
"559",5.78841898914037
"560",5.69949304502411
"561",5.73806675529561
"562",5.74371587598304
"563",5.59516374286055
"564",5.74046149045828
"565",5.61769016853048
